# T [GeV]	qhat/T^3
1.50000e-01	1.20562e+00
1.62570e-01	1.07203e+00
1.76193e-01	9.82287e-01
1.90958e-01	9.34437e-01
2.06959e-01	9.27761e-01
2.24302e-01	9.63807e-01
2.43098e-01	1.04708e+00
2.63470e-01	1.18536e+00
2.85548e-01	1.38944e+00
3.09477e-01	1.67186e+00
3.35410e-01	2.04398e+00
3.63517e-01	2.51093e+00
3.93979e-01	3.06466e+00
4.26994e-01	3.67703e+00
4.62775e-01	4.29682e+00
5.01555e-01	4.85471e+00
5.43585e-01	5.27827e+00
5.89136e-01	5.51269e+00
6.38505e-01	5.53827e+00
6.92011e-01	5.37578e+00
7.50000e-01	5.07717e+00
